1.423,1.71,2.43,1.56,1.27,2.8,3.06,2.8,2.29,2.82,1.04,3.92,0.27,1.065,2.08,Type 1
1.32,1.78,2.14,1.12,1,2.65,2.76,2.6,1.28,2.19,1.05,3.4,0.25,1.05,2.1,Type 1
1.316,2.36,2.67,1.86,1.01,2.8,3.24,3,2.81,2.84,1.03,3.17,0.29,1.185,2.06,Type 1
1.437,1.95,2.5,1.68,1.13,3.85,3.49,2.4,2.18,3.9,0.86,3.45,0.23,1.48,1.72,Type 1
1.324,2.59,2.87,2.1,1.18,2.8,2.69,3.9,1.82,2.16,1.04,2.93,0.38,0.735,2.08,Type 1
1.42,1.76,2.45,1.52,1.12,3.27,3.39,3.4,1.97,3.375,1.05,2.85,0.33,1.45,2.1,Type 1
1.439,1.87,2.45,1.46,0.96,2.5,2.52,3,1.98,2.625,1.02,3.58,0.29,1.29,2.04,Type 1
1.406,2.15,2.61,1.76,1.21,2.6,2.51,3.1,1.25,2.525,1.06,3.58,0.3,1.295,2.12,Type 1
1.483,1.64,2.17,1.4,0.97,2.8,2.98,2.9,1.98,2.6,1.08,2.85,0.28,1.045,2.16,Type 1
1.386,1.35,2.27,1.6,0.98,2.98,3.15,2.2,1.85,3.61,1.01,3.55,0.21,1.045,2.02,Type 1
1.41,2.16,2.3,1.8,1.05,2.95,3.32,2.2,2.38,2.875,1.25,3.17,0.21,1.51,2.5,Type 1
1.412,1.48,2.32,1.68,0.95,2.2,2.43,2.6,1.57,2.5,1.17,2.82,0.25,1.28,2.34,Type 1
1.375,1.73,2.41,1.6,0.89,2.6,2.76,2.9,1.81,2.8,1.15,2.9,0.28,1.32,2.3,Type 1
1.475,1.73,2.39,1.14,0.91,3.1,3.69,4.3,2.81,2.7,1.25,2.73,0.42,1.15,2.5,Type 1
1.438,1.87,2.38,1.2,1.02,3.3,3.64,2.9,2.96,3.75,1.2,3,0.28,1.547,2.4,Type 1
1.363,1.81,2.7,1.72,1.12,2.85,2.91,3,1.46,3.65,1.28,2.88,0.29,1.31,2.56,Type 1
1.43,1.92,2.72,2,1.2,2.8,3.14,3.3,1.97,3.1,1.07,2.65,0.32,1.28,2.14,Type 1
1.383,1.57,2.62,2,1.15,2.95,3.4,4,1.72,3.3,1.13,2.57,0.39,1.13,2.26,Type 1
1.419,1.59,2.48,1.65,1.08,3.3,3.93,3.2,1.86,4.35,1.23,2.82,0.31,1.68,2.46,Type 1
